,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing,missing_pct
governorate,625427,27,janub sina',40699,,,,,,,,0,0.0
co,625427.0,,,,191.5063114000515,56.85390091330142,67.86,137.06,205.28,230.31,627.52,0,0.0
no,625427.0,,,,0.2697380349745056,1.0758615313408337,0.0,0.0,0.01,0.13,42.47,0,0.0
no2,625427.0,,,,4.256461569455749,5.863134106703739,0.01,0.59,1.86,5.7,115.16,0,0.0
o3,625427.0,,,,89.74032942293823,27.251381142588098,17.93,72.96,90.84,108.72,160.92,0,0.0
so2,625427.0,,,,4.747276276847656,5.668684579535329,0.0,1.13,2.95,6.32,135.42,0,0.0
pm2_5,625427.0,,,,16.03979274959348,8.083816888560344,0.0,10.1,14.88,20.77,43.61,0,0.0
pm10,625427.0,,,,47.67240272645728,26.75035379169796,0.0,27.66,42.67,63.8,125.82,0,0.0
nh3,625427.0,,,,5.209773930450715,10.688671146938182,0.0,0.23,1.6,5.51,263.45,0,0.0
temperature,625427.0,,,,22.950275934522452,8.17960698835115,-4.35,16.799999237060547,22.7,28.7,48.75,0,0.0
humidity,625427.0,,,,48.9653329070211,24.589965398618112,2.969082355499268,28.239802,45.981216,69.19214815063476,100.0,0,0.0
pressure,625427.0,,,,993.5652627533284,36.019265415005734,860.0556640625,985.33905,1006.3,1013.255126953125,1040.6395,0,0.0
wind_speed,625427.0,,,,12.17469411951839,6.0935706770489855,0.0,7.519175052642822,11.384199,16.199999,52.28806,0,0.0
wind_direction,625427.0,,,,217.18035628103516,129.55721498319224,0.31308708,62.354122,280.6195983886719,326.4613342285156,360.0,0,0.0
precipitation,625427.0,,,,0.002689202740971749,0.05875122606284915,0.0,0.0,0.0,0.0,8.5,0,0.0
final_aqi_value,625427.0,,,,155.1031071571902,54.85040851415457,17.0,109.0,163.0,204.0,259.0,0,0.0
responsible_gas,625427,5,o3,537803,,,,,,,,0,0.0
health_status,625427,5,Unhealthy,189498,,,,,,,,0,0.0
gov_id,625427.0,,,,13.186738020584336,7.845826651116923,0.0,6.0,14.0,20.0,26.0,0,0.0
year,625427.0,,,,2024.1446995412734,0.9064654880756671,2023.0,2023.0,2024.0,2025.0,2026.0,0,0.0
month,625427.0,,,,6.317435927774144,3.445559245801067,1.0,3.0,6.0,9.0,12.0,0,0.0
hour,625427.0,,,,11.59160061845747,6.926601296591747,0.0,6.0,12.0,18.0,23.0,0,0.0
day_of_week,625427.0,,,,2.9930991146848474,1.9951238616546436,0.0,1.0,3.0,5.0,6.0,0,0.0
